State,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013
Louisiana,2693,207,1274,306,524,12,356,3475,240,1522,391,790,18,500,4011,280,1705,448,831,18,706,4299,325,1793,422,954,20,744,4397,363,1948,393,894,23,740,4226,371,1920,379,867,15,631,4454,406,2016,318,920,13,749,4355,344,1866,377,1027,20,694
Maine,1719,511,527,361,221,10,87,1488,442,453,291,188,24,90,1617,740,389,243,176,9,60,1675,819,369,239,158,9,79,1349,401,508,188,172,4,75,1467,384,601,212,174,19,76,1497,547,544,180,162,17,47,1208,399,395,177,169,10,53
Maryland,30204,8808,9622,2805,5699,68,3128,24255,7368,8443,1919,3961,57,2457,27062,8406,9203,2506,4319,62,2517,26722,8485,9385,1880,4314,73,2558,26450,7962,9799,1727,4442,69,2420,25778,7840,10019,1683,4068,56,2081,24971,7786,9926,1555,3661,52,1953,25361,7824,9615,1674,4148,49,1963
Massachusetts,35560,6281,9755,5945,7867,117,5531,30555,5673,8744,4432,7142,116,4425,30369,5543,9559,4420,6890,90,3840,32607,6282,9291,4380,8665,84,3877,31069,5148,10489,3581,8395,89,3351,32236,5578,11242,3498,8300,87,3513,31392,5631,11205,3300,7903,79,3258,29482,5037,9797,3770,7556,116,3114
Michigan,20911,1930,10281,4893,1839,78,1853,18727,1418,10258,3855,1559,50,1557,17947,1673,9454,3323,1590,59,1811,18919,1863,11089,2963,1294,70,1611,18579,1456,12041,2421,1239,64,1303,18347,1383,11897,2320,1119,43,1538,17494,1376,11315,2117,1072,58,1525,16952,1439,10687,2170,1079,66,1451
Minnesota,18254,7308,6479,1965,1004,51,1415,13814,5167,5280,1177,834,61,1283,15832,7659,4776,1170,742,52,1420,18020,9579,4963,1235,712,53,1457,12408,5076,4697,919,544,54,1111,12389,4804,4740,866,607,46,1314,12999,5115,5327,739,559,35,1216,12781,4672,5017,834,731,60,1430
Mississippi,1480,107,704,183,175,8,301,1593,99,751,165,218,9,348,1679,148,768,158,205,5,393,1652,129,713,182,219,12,389,1709,147,845,130,249,4,332,1666,109,824,154,207,3,363,1583,111,734,124,202,7,399,1716,154,857,111,208,3,371
Missouri,6857,1311,2303,1642,687,65,829,6459,933,2592,1316,655,54,900,7078,1076,2897,1325,614,57,1095,7142,1662,2836,940,630,58,1000,7151,1292,3285,852,664,53,989,7048,1237,3446,725,682,34,896,6635,1167,3303,583,594,55,919,6345,1051,3152,697,546,42,842
Montana,505,19,173,141,103,17,52,575,28,200,131,114,20,81,543,42,186,125,86,14,90,553,59,194,110,90,9,88,457,52,174,98,68,8,57,511,56,203,121,67,9,55,503,64,187,94,76,8,73,445,35,180,98,60,,61
Nebraska,3795,793,849,310,629,11,1195,3066,587,877,198,369,13,1020,3668,811,894,230,395,6,1328,3989,1137,1222,183,425,10,1006,4400,804,1812,176,580,5,1018,4535,846,1840,178,622,7,1038,4384,744,1924,120,559,11,1024,4141,670,1657,155,592,16,1036
Nevada,14714,837,5256,1500,2439,117,4540,12308,766,4626,1134,1990,71,3703,11768,668,3906,904,2040,79,4167,12334,1003,4492,1003,1906,69,3852,10803,801,4435,842,1550,73,3097,10449,866,4265,740,1583,67,2925,10343,870,4094,757,1571,67,2982,9886,813,3829,804,1492,63,2836
New Hampshire,2990,446,936,679,455,17,446,2272,339,849,462,293,26,300,2466,445,890,487,364,10,260,2483,556,914,356,357,20,278,2556,353,1312,309,348,13,220,2478,241,1461,261,286,11,216,2466,300,1310,276,325,16,233,2227,212,1156,328,285,,231
