,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,743715,1775,1100,12377,1648,179754,6813,10421,1545,2188,82788,15408,654,3744,1674,28112,4261,2198,3129,2390,3402,729,17099,21748,10703,9089,1170,4526,267,1644,8470,1492,35077,3062,88733,16294,273,8072,2256,5051,16905,1253,2458,3506,415,4938,54024,432,619,2823,426,24730,19853,361,3845,186,5805
Africa,60383,185,44,741,67,5426,891,723,241,620,2284,2777,11,75,60,1606,491,273,331,319,203,175,4415,3151,755,3795,83,643,13,303,695,167,2872,69,5386,2101,68,1789,209,334,2253,,540,275,157,961,4457,41,4,167,66,4046,2013,50,321,,631
Asia,276375,864,567,3619,608,86570,2165,3194,703,397,9769,5623,538,2843,396,9798,1716,812,1276,871,1702,254,6270,7125,6029,3065,611,1956,71,535,3124,562,13846,494,29730,6118,78,3546,931,2068,7460,63,462,1312,104,2183,18451,147,70,738,126,11703,9465,159,1656,50,1782
Europe,90149,230,220,1346,119,12055,1217,2565,149,294,6738,1791,19,216,322,8353,671,428,238,499,244,142,1686,3774,2365,969,92,1059,88,144,883,361,5171,233,13889,2031,74,1579,212,1054,3171,56,288,667,86,602,2854,43,13,381,140,2397,4443,74,741,34,639
North America,250266,391,178,6233,789,68323,2115,2371,365,633,46992,3896,59,293,796,7365,1186,590,1133,568,1023,111,3377,5342,1288,877,294,701,73,588,3323,245,7519,2140,26978,4518,40,797,769,1378,3067,899,894,807,57,921,25683,152,513,1015,70,4112,3144,55,951,84,2185
Northern America,41443,84,71,400,38,1872,223,750,83,183,5628,721,16,77,71,311,134,60,64,98,137,76,775,2572,486,182,44,96,47,28,168,170,3502,64,13910,984,36,277,48,125,1494,702,582,219,18,185,1068,33,495,97,63,672,763,22,138,14,381
Oceania,3928,8,47,83,8,1531,102,36,,31,116,62,12,186,12,44,21,6,13,25,14,7,48,52,18,20,8,23,5,6,49,11,52,12,178,85,5,25,9,74,45,,6,18,,23,147,16,0,107,6,167,297,,23,,22
Latin America,270497,400,150,6178,804,72161,2210,3142,282,663,58141,4410,58,346,813,7916,1222,614,1203,565,1081,75,3891,5041,1033,1051,325,744,42,627,3548,221,9611,2178,25555,4958,12,822,843,1392,2465,421,576,1001,39,969,26951,152,37,1331,25,5725,2858,51,965,84,2309
South America,61674,93,43,345,53,5710,318,1521,,213,16777,1235,15,130,88,862,170,84,134,95,195,40,1289,2271,231,356,75,139,16,67,393,146,5594,102,12487,1424,8,302,122,139,892,224,264,413,,233,2336,33,19,413,18,2285,477,18,152,14,505
Afghanistan,2588,0,0,79,0,888,45,32,8,0,42,54,0,0,32,47,12,7,,9,9,8,33,41,28,3,0,64,0,17,28,4,65,14,254,31,0,15,0,17,45,0,,,,14,88,0,0,31,0,434,41,0,13,0,30
Albania,3483,0,3,20,,87,6,256,0,5,274,14,0,0,7,197,5,0,4,0,4,0,36,457,350,6,0,55,0,,26,9,175,0,833,34,0,85,3,9,289,0,,21,0,11,54,,0,7,0,56,17,0,41,0,22
Algeria,1024,3,0,4,4,135,18,12,,3,42,12,0,0,0,55,7,,3,,15,,16,95,16,8,0,6,0,,12,4,55,,166,33,0,37,,6,58,0,,5,,9,75,0,0,,0,76,14,0,3,0,3
American Samoa,265,0,15,,0,44,4,0,0,0,,5,0,63,0,0,,0,0,3,,0,0,,0,0,,,0,0,3,0,0,,,6,,0,0,,,0,0,0,0,,0,5,0,12,0,50,31,0,0,0,5
Andorra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,95,0,0,,0,8,0,6,0,,10,,0,0,0,,0,0,0,0,0,0,6,20,,,0,0,0,,0,0,13,0,3,,0,,0,0,3,0,6,,0,,5,0,0,,0,0,0,0,0,0,2
Anguilla,29,0,0,0,0,0,,,,0,3,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,0,0,0,0,1
Antigua-Barbuda,456,,0,,,8,,4,0,0,74,24,,0,0,,0,0,,,,0,17,10,,,0,,0,0,3,0,24,0,154,14,0,,0,0,15,,,,0,0,14,0,52,0,0,12,3,0,0,0,7
Argentina,3153,3,4,26,3,613,30,57,4,22,1039,46,0,10,5,55,9,5,15,8,13,,70,35,18,19,7,9,,,37,,127,5,321,61,0,18,9,10,35,21,8,17,0,8,139,0,0,39,,105,20,,15,0,22
Armenia,2021,,0,13,0,1610,10,5,0,,23,4,0,4,,10,,,0,,0,0,12,43,6,5,0,6,0,,31,0,29,,83,13,0,8,0,,13,0,3,,0,,16,0,0,9,,20,20,0,3,0,7
Aruba,37,,0,0,0,,0,,,0,7,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Australia,1392,6,8,37,,349,57,26,,25,68,27,5,19,4,28,9,3,3,7,3,6,34,34,11,10,6,11,5,,18,10,40,5,136,45,3,17,5,25,28,,5,12,0,18,73,3,0,8,5,37,73,,11,0,7
Austria,303,0,,8,0,62,6,5,0,3,23,6,0,7,4,8,3,,0,,,0,6,8,5,3,0,,0,,6,0,11,4,44,9,0,6,,4,7,0,,,0,3,15,0,0,,,13,7,0,,0,2
