,Total_2006,Africa_2006,Asia_2006,Europe_2006,Northern America_2006,Oceania_2006,Latin America_2006,Total_2007,Africa_2007,Asia_2007,Europe_2007,Northern America_2007,Oceania_2007,Latin America_2007,Total_2008,Africa_2008,Asia_2008,Europe_2008,Northern America_2008,Oceania_2008,Latin America_2008,Total_2009,Africa_2009,Asia_2009,Europe_2009,Northern America_2009,Oceania_2009,Latin America_2009,Total_2010,Africa_2010,Asia_2010,Europe_2010,Northern America_2010,Oceania_2010,Latin America_2010,Total_2011,Africa_2011,Asia_2011,Europe_2011,Northern America_2011,Oceania_2011,Latin America_2011,Total_2012,Africa_2012,Asia_2012,Europe_2012,Northern America_2012,Oceania_2012,Latin America_2012,Total_2013,Africa_2013,Asia_2013,Europe_2013,Northern America_2013,Oceania_2013,Latin America_2013,Abbreviations
Hawaii,5276.0,79.0,3917.0,266.0,162.0,318.0,529.0,4521.0,49.0,3683.0,232.0,105.0,183.0,269.0,5205.0,42.0,4286.0,229.0,90.0,209.0,345.0,3744.0,75.0,2843.0,216.0,77.0,186.0,346.0,3190.0,91.0,2252.0,235.0,119.0,205.0,288.0,3450.0,53.0,2665.0,221.0,94.0,157.0,260.0,3144.0,38.0,2418.0,212.0,96.0,148.0,224.0,3494.0,50.0,2770.0,208.0,76.0,142.0,242.0,HI
Idaho,980.0,18.0,176.0,349.0,50.0,12.0,374.0,1261.0,28.0,255.0,329.0,47.0,10.0,592.0,2240.0,43.0,358.0,436.0,74.0,17.0,1312.0,1674.0,60.0,396.0,322.0,71.0,12.0,813.0,1102.0,74.0,234.0,235.0,48.0,12.0,499.0,1473.0,80.0,337.0,253.0,61.0,14.0,728.0,1384.0,111.0,325.0,244.0,53.0,15.0,635.0,1305.0,118.0,391.0,233.0,59.0,11.0,493.0,ID
Illinois,30156.0,1383.0,10745.0,8911.0,382.0,46.0,8586.0,38735.0,1534.0,12833.0,10128.0,408.0,51.0,13697.0,45224.0,1755.0,14070.0,11778.0,514.0,71.0,16966.0,28112.0,1606.0,9798.0,8353.0,311.0,44.0,7916.0,26180.0,2022.0,10780.0,6969.0,514.0,50.0,5815.0,29133.0,2333.0,10616.0,7569.0,435.0,51.0,8100.0,28376.0,2437.0,10255.0,7145.0,427.0,66.0,7980.0,27706.0,2187.0,10862.0,6951.0,455.0,63.0,7095.0,IL
Indiana,3885.0,376.0,1564.0,798.0,169.0,9.0,959.0,3652.0,345.0,1377.0,662.0,130.0,11.0,1123.0,5104.0,456.0,1829.0,817.0,175.0,27.0,1796.0,4261.0,491.0,1716.0,671.0,134.0,21.0,1222.0,3866.0,583.0,1659.0,521.0,166.0,16.0,912.0,4085.0,592.0,1635.0,560.0,152.0,13.0,1127.0,4146.0,624.0,1539.0,605.0,139.0,10.0,1212.0,4369.0,654.0,1815.0,557.0,145.0,,1152.0,IN
Iowa,805.0,47.0,245.0,231.0,20.0,0.0,262.0,2093.0,179.0,586.0,571.0,48.0,8.0,701.0,3503.0,276.0,1043.0,806.0,81.0,10.0,1286.0,2198.0,273.0,812.0,428.0,60.0,6.0,614.0,1858.0,319.0,663.0,375.0,52.0,6.0,443.0,1840.0,357.0,521.0,357.0,61.0,9.0,534.0,2255.0,468.0,656.0,461.0,46.0,16.0,605.0,2503.0,551.0,819.0,449.0,61.0,11.0,609.0,IA
Kansas,2509.0,170.0,1110.0,239.0,66.0,18.0,898.0,2406.0,181.0,963.0,187.0,65.0,14.0,995.0,4072.0,264.0,1553.0,310.0,84.0,22.0,1834.0,3129.0,331.0,1276.0,238.0,64.0,13.0,1203.0,2492.0,325.0,1039.0,194.0,75.0,16.0,839.0,2687.0,392.0,1029.0,177.0,58.0,14.0,1015.0,2905.0,469.0,1050.0,240.0,60.0,18.0,1051.0,2761.0,377.0,1191.0,175.0,62.0,,932.0,KS
Kentucky,2049.0,176.0,759.0,600.0,89.0,16.0,401.0,2256.0,221.0,768.0,622.0,70.0,11.0,554.0,3093.0,292.0,1091.0,805.0,110.0,14.0,770.0,2390.0,319.0,871.0,499.0,98.0,25.0,565.0,2398.0,363.0,960.0,441.0,99.0,18.0,516.0,2778.0,431.0,1066.0,533.0,93.0,17.0,632.0,2686.0,469.0,923.0,455.0,85.0,16.0,726.0,3341.0,655.0,1197.0,464.0,77.0,12.0,893.0,KY
Louisiana,1336.0,79.0,660.0,136.0,65.0,7.0,377.0,2240.0,129.0,1098.0,213.0,85.0,15.0,692.0,3018.0,135.0,1368.0,199.0,120.0,13.0,1174.0,3402.0,203.0,1702.0,244.0,137.0,14.0,1081.0,2423.0,198.0,1178.0,194.0,138.0,9.0,699.0,2496.0,186.0,1122.0,208.0,132.0,7.0,829.0,2344.0,189.0,1023.0,187.0,127.0,9.0,785.0,2543.0,181.0,1107.0,220.0,160.0,15.0,827.0,LA
Maine,802.0,188.0,236.0,206.0,114.0,3.0,54.0,728.0,180.0,232.0,171.0,100.0,5.0,40.0,924.0,219.0,280.0,221.0,117.0,5.0,82.0,729.0,175.0,254.0,142.0,76.0,7.0,75.0,839.0,250.0,274.0,156.0,97.0,10.0,52.0,999.0,410.0,255.0,179.0,72.0,5.0,78.0,941.0,394.0,221.0,192.0,58.0,6.0,70.0,988.0,319.0,312.0,168.0,94.0,10.0,77.0,ME
Maryland,14465.0,3149.0,5787.0,1687.0,678.0,24.0,3132.0,11613.0,2332.0,4798.0,1181.0,562.0,28.0,2704.0,23342.0,4571.0,8867.0,2260.0,1215.0,50.0,6364.0,17099.0,4415.0,6270.0,1686.0,775.0,48.0,3891.0,16220.0,4945.0,6071.0,1368.0,1085.0,46.0,2703.0,15790.0,5017.0,5317.0,1383.0,633.0,40.0,3395.0,16160.0,5066.0,5111.0,1269.0,694.0,37.0,4027.0,17752.0,5407.0,6027.0,1405.0,804.0,,3894.0,MD
Massachusetts,22932.0,2852.0,7585.0,4848.0,2865.0,51.0,4724.0,20952.0,2677.0,6529.0,3956.0,2885.0,45.0,4858.0,28728.0,3085.0,8399.0,5283.0,4635.0,70.0,7251.0,21748.0,3151.0,7125.0,3774.0,2572.0,52.0,5041.0,21095.0,3167.0,7225.0,3557.0,2424.0,59.0,4662.0,22812.0,3733.0,6619.0,3585.0,2520.0,79.0,6276.0,22753.0,3849.0,5870.0,3373.0,3165.0,64.0,6390.0,21404.0,3297.0,5780.0,3117.0,3067.0,62.0,4514.0,MA
Michigan,11675.0,760.0,6314.0,3190.0,505.0,34.0,840.0,10678.0,605.0,5905.0,2687.0,481.0,15.0,965.0,14634.0,728.0,8234.0,3357.0,681.0,46.0,1557.0,10703.0,755.0,6029.0,2365.0,486.0,18.0,1033.0,11162.0,850.0,6424.0,2446.0,515.0,30.0,881.0,10414.0,812.0,5739.0,2308.0,432.0,33.0,1070.0,11069.0,836.0,6097.0,2358.0,465.0,28.0,1271.0,12950.0,879.0,7624.0,2440.0,545.0,27.0,1389.0,MI
Minnesota,9137.0,3569.0,3262.0,1204.0,180.0,26.0,883.0,9124.0,3382.0,3322.0,1192.0,170.0,25.0,1026.0,9220.0,3077.0,3445.0,1186.0,219.0,32.0,1258.0,9089.0,3795.0,3065.0,969.0,182.0,20.0,1051.0,9020.0,4309.0,2889.0,780.0,184.0,17.0,839.0,11044.0,5401.0,3429.0,915.0,185.0,23.0,1090.0,12016.0,6074.0,3527.0,975.0,187.0,25.0,1210.0,10526.0,4736.0,3467.0,914.0,203.0,33.0,1154.0,MN
Mississippi,495.0,33.0,272.0,59.0,31.0,3.0,94.0,657.0,50.0,345.0,74.0,23.0,4.0,158.0,944.0,67.0,501.0,85.0,36.0,8.0,244.0,1170.0,83.0,611.0,92.0,44.0,8.0,325.0,967.0,70.0,480.0,94.0,64.0,9.0,248.0,965.0,68.0,492.0,85.0,39.0,8.0,273.0,972.0,80.0,501.0,80.0,33.0,5.0,261.0,973.0,83.0,478.0,90.0,38.0,,216.0,MS
Missouri,3711.0,410.0,1490.0,1085.0,77.0,17.0,629.0,4237.0,466.0,1586.0,1348.0,124.0,16.0,695.0,5849.0,652.0,2443.0,1506.0,133.0,33.0,1074.0,4526.0,643.0,1956.0,1059.0,96.0,23.0,744.0,4388.0,655.0,1939.0,978.0,138.0,25.0,649.0,4175.0,652.0,1581.0,1018.0,104.0,40.0,770.0,4794.0,799.0,1726.0,1220.0,104.0,29.0,906.0,4817.0,836.0,1891.0,1115.0,95.0,,836.0,MO
Montana,225.0,7.0,56.0,72.0,48.0,3.0,38.0,251.0,3.0,76.0,73.0,43.0,10.0,46.0,358.0,10.0,77.0,110.0,89.0,11.0,61.0,267.0,13.0,71.0,88.0,47.0,5.0,42.0,259.0,12.0,59.0,83.0,49.0,5.0,51.0,297.0,20.0,83.0,89.0,48.0,7.0,50.0,325.0,23.0,99.0,102.0,44.0,11.0,46.0,294.0,11.0,80.0,103.0,37.0,6.0,57.0,MT
Nebraska,1797.0,234.0,524.0,231.0,40.0,9.0,757.0,2188.0,285.0,665.0,212.0,44.0,,979.0,2866.0,308.0,874.0,299.0,58.0,5.0,1320.0,1644.0,303.0,535.0,144.0,28.0,6.0,627.0,1590.0,371.0,492.0,134.0,26.0,,495.0,1876.0,483.0,483.0,154.0,39.0,,640.0,2039.0,628.0,453.0,149.0,26.0,7.0,776.0,2418.0,686.0,735.0,161.0,42.0,3.0,785.0,NE
Nevada,8202.0,373.0,3179.0,1026.0,159.0,64.0,3397.0,8363.0,340.0,2791.0,795.0,166.0,35.0,4234.0,13150.0,458.0,4175.0,1070.0,243.0,63.0,7137.0,8470.0,695.0,3124.0,883.0,168.0,49.0,3548.0,6791.0,617.0,2925.0,789.0,158.0,46.0,2253.0,8519.0,649.0,3412.0,852.0,176.0,57.0,3372.0,7667.0,542.0,2913.0,766.0,136.0,44.0,3235.0,8507.0,588.0,3490.0,782.0,168.0,,3417.0,NV
New Hampshire,2483.0,209.0,814.0,792.0,347.0,15.0,304.0,1821.0,134.0,649.0,461.0,273.0,12.0,292.0,1617.0,124.0,579.0,423.0,248.0,9.0,233.0,1492.0,167.0,562.0,361.0,170.0,11.0,221.0,1670.0,189.0,672.0,352.0,190.0,12.0,254.0,1607.0,202.0,542.0,402.0,177.0,13.0,271.0,1507.0,161.0,499.0,350.0,198.0,11.0,282.0,1589.0,183.0,558.0,379.0,213.0,14.0,224.0,NH
New Jersey,39801.0,3017.0,15026.0,6705.0,3776.0,75.0,11188.0,35235.0,2222.0,13873.0,5105.0,3666.0,44.0,10310.0,59950.0,3452.0,21870.0,8338.0,7012.0,67.0,19192.0,35077.0,2872.0,13846.0,5171.0,3502.0,52.0,9611.0,33864.0,3266.0,14194.0,4609.0,3904.0,54.0,7823.0,33826.0,3338.0,12553.0,4656.0,3540.0,46.0,9687.0,42622.0,3907.0,13995.0,5082.0,5996.0,53.0,13076.0,41173.0,3594.0,13825.0,4584.0,6193.0,49.0,11081.0,NJ
