Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Dependencies	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Georgia	1554			14	0	295	23	16	0	3	58	36	0	17	45	17	0	3	11	3	0	31	24	16	4		9			9	7	163	0	466	11	0	21		9	93	3	6		4	17	0	0	7	0	12	82	0	7	0
Germany	7582	98	18	143	39	1262	125	124	16	25	702	277	46	13	268	72	49	44	76	43	22	121	225	250	95	24	94	21	21	58	37	268	57	743	178	17	160	52	106	245	17	91	6	83	492	4	14	37	11	234	239	14	93	13
Ghana	7610	11	0	39	8	265	95	147	46	34	144	454	4	4	281	36	25	13	35	11	5	524	520	70	103	6	39		21	21	10	708	8	1681	174	3	501	59	24	162	30	15		73	341	0	0	15	12	740	61		28	0
Gibraltar	4	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	882	0	0	4	0	120	5	23	4		66	18		0	46	4	0		0	6		13	94	22	4	0	5	0		8	6	48		226	12	0	19	3		34	3	5	0	7	28	0	0	0	0	15	15	0	8	0
Grenada	751	3	0	0		7		3	3		51	16	0		3		0	0		0	0	26	11		0	0	4	0	0		0	30	0	513	6	0		0		8		4	0	4	27	0	8	0	0	7			0	0
Guadeloupe	38	0	0	0	0	0	0	0	0	0	9		0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	15	0	0	0	0	0		0	0	0	0		0	4	0	0		0	0		0
Guatemala	17908	112	16	208	87	5458	177	243	58	51	1382	367	34	32	601	207	107	81	161	132	30	438	583	279	282	44	202	14	163	298	30	641	53	1026	335	9	311	120	239	368	346	110	36	238	917	0	12	108	14	646	225	22	250	5
Guinea	1088	5	0	8	0	23	11	13	10	5	18	90	0	0	12	20				5	0	82	27	20	35		7	0	0		4	34		396	15	0	50		6	67	10			30	25	0	0			31	9	0	5	0
Guinea-Bissau	25	0	0	0	0	4	0		0	0	0		0	0	0	0	0	0	0	0	0		7	0	0	0		0	0	0	0	0	0	3	0	0	0	0				0	0		0	0	0		0	0	0	0	0	0
Guyana	5726	6	0	9		43	5	102	16	24	546	132			24	7	3	0	7	8		114	33	10	111	3	5	0	0	4		457		3775	26	0	16	5		58		28	0	21	64	0	6			37	5	0	3	0
Haiti	30405	11		26		120	29	556	81	9	17499	438		3	155	38	0	14	32	27	10	290	2269	34	25	4	52	7	10	17	24	2301		5226	74	5	44	3	25	472	111	8	3	41	82		80	13		84	40		4	0
Honduras	7646	19	10	73	25	1049	46	55	3	36	1777	170		5	149	48	16	26	24	233		218	194	35	26	12	40		29	62	5	441	4	911	195	0	37	38	14	82	11	66	3	75	831		22	32		411	48		29	
Hong Kong	3527	3	3	56		1502	18	26			68	40	53	8	99	13	6	8	3	16	0	56	140	55	12	3	18		5	33		173	5	579	36	0	30		38	67	3		0	19	124	0	7	23	3	24	137	0	6	0
Hungary	1266	4	0	18	0	208	16	37	4	5	245	28	3	0	22	15		3	4	6	6	20	33	10	13		9	0		34		83		211	16	0	20	4	18	33	5	6		6	38	0		4	3	30	30	0	4	0
Iceland	95	0			0	29	3	3	0	0	14		0		0		0	0	0	0			5		0	0	0	0	0		0	3	0	9		0	0		0	0		3	0	3		0	0					0	0	
India	65353	256	20	726	155	12820	397	1173	309	30	2828	2850	25	40	5096	561	235	297	280	194	46	1617	1681	2173	573	215	497	15	209	245	271	7477	96	5371	1469	35	1307	278	334	2465	104	343	31	666	4681	0	43	107	49	2387	1544	40	675	17
Indonesia	3716	6	9	30	9	1344	78	23	5	12	92	102	24	6	82	17	6	9	12	11	6	87	35	32	36	7	12		4	44	55	109	3	460	52	0	49	30	42	260	4	13	3	12	201	0	3	13		100	134	6	18	5
Iran	10460	39	0	153	8	5252	98	52	10	12	344	267		16	232	36	15	40	40	39	13	319	152	109	65	7	77		11	101	7	172	24	359	104		115	56	80	125	7	20	0	122	818	0	0	94	3	521	262	21	34	4
Iraq	3765	26	0	126	6	764	32	11	6	13	66	39	7	4	278	13	8	10	26	7	28	29	19	1387	18		45	0	32	26		26	12	64	26		50	17	21	39	8	19	6	88	129	0		9	0	153	54	4	7	
Ireland	1503	5		21	4	237	10	28		5	101	25			86	11	5	5	15	3	5	25	168	14	8	3	6	0	0	4	13	93		307	29	4	14	4	15	68	8	4	0	11	59	0	0		0	30	25	3	11	
Israel	4496	6		54		1174	20	36	3	9	434	102	15		146	23	4	14	14	17	4	73	153	53	22		32		4	85	0	308		1047	52	0	51	5	14	118		28		35	182	0	6	5		44	65		23	
