,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,619913,2027,831,10340,1275,129354,7165,7452,1829,1319,67484,18253,644,3190,1102,26180,3866,1858,2492,2398,2423,839,16220,21095,11162,9020,967,4388,259,1590,6791,1670,33864,2205,67972,9988,286,8617,2678,4910,16143,1318,2078,3081,399,4229,49699,41,549,2908,407,17815,16830,550,3864,229,3770
Africa,64023,202,67,942,64,5480,1083,600,345,485,2206,3657,,91,74,2022,583,319,325,363,198,250,4945,3167,850,4309,70,655,12,371,617,189,3266,79,4881,1529,82,2220,301,393,2546,7,487,348,129,1090,5238,4,,218,76,3447,2186,86,381,,473
Asia,251598,1037,395,3202,531,74328,2178,2371,810,211,9142,7079,563,2252,234,10780,1659,663,1039,960,1178,274,6071,7225,6424,2889,480,1939,59,492,2925,672,14194,509,24931,4002,105,3616,1184,1989,7304,70,400,1342,136,1793,19631,12,55,759,114,8302,7680,272,1807,54,1275
Europe,77951,232,173,1259,100,9987,1299,1900,198,210,6063,1950,,235,235,6969,521,375,194,441,194,156,1368,3557,2446,780,94,978,83,134,789,352,4609,215,11190,1231,62,1618,235,1041,2840,50,249,461,74,468,3037,,18,377,121,1759,3627,75,717,47,542
North America,163888,418,115,4500,537,33706,2107,1468,373,289,31071,3751,34,279,488,5298,851,432,787,455,667,112,2642,4367,1129,695,243,590,68,521,2081,242,6526,1297,18117,2127,27,751,727,1267,2558,937,699,544,42,656,18657,14,456,958,66,2563,2593,75,743,104,1068
Northern America,44779,128,51,393,34,1636,305,918,153,128,7764,1538,19,119,48,514,166,52,75,99,138,97,1085,2424,515,184,64,138,49,26,158,190,3904,51,13175,662,20,390,99,165,1630,771,463,240,12,150,1403,11,449,108,66,747,634,39,140,20,332
Oceania,3646,6,38,52,4,1491,95,25,3,11,98,52,14,205,12,50,16,6,16,18,9,10,46,59,30,17,9,25,5,,46,12,54,16,131,51,,17,20,77,32,0,11,22,0,20,170,,,115,3,105,261,4,20,,26
Latin America,177590,419,107,4488,541,36379,2202,1638,320,273,42184,3975,30,288,499,5815,912,443,839,516,699,52,2703,4662,881,839,248,649,51,495,2253,254,7823,1334,13649,2504,7,729,836,1245,1789,416,467,667,48,701,20186,10,20,1329,27,3446,2438,74,795,99,1112
South America,58481,129,43,381,38,4309,400,1088,100,112,18877,1762,15,128,59,1031,227,63,127,160,170,37,1146,2719,267,328,69,197,32,,330,202,5201,88,8707,1039,,368,208,143,861,250,231,363,18,195,2932,7,13,479,27,1630,479,38,192,15,376
Afghanistan,2230,0,0,54,0,749,25,23,3,,37,49,0,0,18,60,10,8,7,8,4,11,25,35,26,12,0,65,0,10,16,,68,10,293,8,0,8,,17,45,0,0,13,4,18,93,0,0,25,0,309,28,7,7,0,18
