,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,702589,1946,831,9707,1133,152836,5526,7231,1187,1089,90846,19785,,5276,980,30156,3885,805,2509,2049,1336,802,14465,22932,11675,9137,495,3711,225,1797,8202,2483,39801,1538,103870,12592,329,8796,2246,4332,15846,,2266,2940,342,3334,37835,,2893,2740,569,20401,12762,390,3247,,8313
Africa,50397,156,26,528,55,4206,597,467,153,315,2083,3438,,79,18,1383,376,47,170,176,79,188,3149,2852,760,3569,33,410,7,234,373,209,3017,48,5792,1754,66,1814,222,267,1632,,452,286,120,608,2996,0,16,192,52,3012,1042,29,206,9,629
Asia,257125,983,419,2437,391,77511,1671,2138,492,197,10255,7950,,3917,176,10745,1564,245,1110,759,660,236,5787,7585,6314,3262,272,1490,56,524,3179,814,15026,385,31154,4915,75,3380,961,1801,7198,,410,1193,52,1488,14120,0,910,685,164,9704,5864,198,1383,38,2882
Europe,107459,326,159,1595,106,13246,1212,1967,155,175,8742,3028,,266,349,8911,798,231,239,600,136,206,1687,4848,3190,1204,59,1085,72,231,1026,792,6705,200,21084,1998,124,2420,207,1087,3760,,399,593,106,506,2721,,86,607,240,2323,3258,75,919,,1356
North America,223086,341,150,4760,525,51584,1754,1686,288,292,51108,4026,,510,388,8113,985,266,871,405,366,147,2698,5837,1144,721,99,577,74,732,3228,480,8562,817,31858,2966,52,816,686,967,2428,,765,529,56,564,16332,0,1622,860,92,3320,2076,62,637,65,2799
Northern America,44231,86,58,351,34,1681,197,459,68,87,6865,845,,162,50,382,169,20,66,89,65,114,678,2865,505,180,31,77,48,40,159,347,3776,39,16582,733,32,323,66,141,1058,,484,180,13,149,903,0,1295,110,80,600,486,17,87,22,357
Oceania,3657,10,27,67,,1531,63,20,4,13,125,78,,318,12,46,9,0,18,16,7,3,24,51,34,26,3,17,3,9,64,15,75,8,159,51,0,32,11,68,37,,7,19,,19,136,0,13,91,0,62,205,3,10,4,29
Latin America,238840,381,140,4720,539,54589,1777,2175,315,302,62647,4426,,529,374,8586,959,262,898,401,377,54,3132,4724,840,883,94,629,38,757,3397,304,11188,854,29070,3118,31,780,777,961,2150,,513,659,43,555,16874,0,568,1052,33,4670,1895,68,632,43,2961
South America,59985,126,48,311,48,4686,220,948,95,97,18404,1245,,181,36,855,143,16,93,85,76,21,1112,1752,201,342,26,129,12,65,328,171,6402,76,13794,885,11,287,157,135,780,,232,310,,140,1445,0,241,302,21,1950,305,23,82,,519
Afghanistan,2018,0,0,48,0,706,16,23,4,3,37,58,,,10,29,22,0,10,,0,5,30,52,5,13,0,32,0,22,35,0,69,8,246,14,0,3,,13,31,,3,,0,6,39,0,0,7,0,354,30,,5,0,24
