Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Total	1130818	3891	1608	20997	2942	227876	12841	13632	2184	2934	127006	28396	1427	6929	3120	41889	9087	3963	5319	5260	4299	1675	26722	32607	18919	18020	1652	7142	553	3989	12334	2483	58879	3887	150722	18562	843	15375	5007	9026	24105	4084	4156	4747	1271	9042	95384	86	1409	6466	792	29825	27562	734	6727	429
Africa	127050	582	83	2559	146	8578	2621	1185	507	1006	3157	5944		49	482	3914	1388	982	841	1321	325	819	8485	6282	1863	9579	129	1662	59	1137	1003	556	5774	178	12046	2857	401	5045	506	1047	4581		1183	384	649	2572	10255	9	18	880	226	5527	4543	97	989	30
Asia	413312	1644	958	5615	899	117446	3600	4013	787	549	12726	9900	1397	6058	1009	16138	4371	1212	2045	1963	1793	369	9385	9291	11089	4963	713	2836	194	1222	4492	914	21034	815	58012	6602	234	6065	1963	3405	9663	121	609	1593	297	3261	28314	43	346	2070	262	13732	12207	386	2544	143
Europe	105398	419	221	1454	188	14789	1616	2555	213	438	8808	2427		265	321	8514	900	389	345	489	422	239	1880	4380	2963	1235	182	940	110	183	1003	356	5593	287	15113	1989	84	1988	335	1477	3625	113	308	833	142	840	4796	15		549	156	2639	5062	92	1022	67
North America	375236	922	241	10595	1540	76870	4237	3428	557	671	69761	7145	9	211	1138	11472	1983	1238	1836	1267	1347	167	4918	8891	2462	1581	479	1281	140	1291	5113	406	15910	2422	48181	5308	96	1509	1903	2713	4813	3208	1580	1274	161	1846	46810	10	996	1867	105	4698	4598	94	1792	145
Northern America	210316	472	170	1427	411	17056	804	3152	367	631	65354	3820	9	145	149	2270	671	348	388	928	954	158	4314	8665	1294	712	219	630	90	425	1906	357	14787	285	46323	2385	82	994	289	670	4019	3098	1525	620	119	836	8213	10	996	481	95	3693	1888	63	516	36
Oceania	5578	22	42	89	23	2022	132	61	6	24	197	101	6	191	20	137	37	24	22	21	20	9	73	84	70	53	12	58	9	10	69	20	120	23	385	89	6	66	18	117	84	3	13	22		39	267	4		132	7	92	354	9	48	12
Latin America	267798	737	132	9839	1271	67764	4058	2660	302	283	36611	6169	0	219	1137	10790	1693	1008	1676	535	744	79	2558	3877	1611	1457	389	1000	88	1006	3852	278	11510	2297	18708	4611	36	1168	1889	2303	2091	736	516	1293	42	1476	43441	5	28	2352	46	4106	3483	86	1588	141
South America	102878	287	61	671	142	7950	625	2384	112	243	32204	2844		153	148	1588	381	118	228	196	351	70	1954	3651	443	588	129	349	38	140	645	229	10387	160	16850	1688	22	653	275	260	1297	626	461	639		466	4844	5	28	966	36	3101	773	55	312	32
Afghanistan	3165	3	0	102		982	65	42	11		55	88	0	6	61	36	26	8	11	3	9	5	74	14	29	9		55	0	21	35	10	44	5	340	36	0	16	11	34	64	0	5	17	10	25	164		0	32		521	55		19	0
Albania	5137	3		53	4	84	18	346	5	8	455	15	0	0	8	341	7	6	6		0	4	69	542	749	12		65	0		23	13	255	0	1211	26	0	128	7	17	355	0		25	0	19	76	0	0	11	7	66	21	0	69	0
Algeria	1485	8	0	13	0	238	19	15		6	69	22	0	3		76	23		8	6	11		20	111	24	20		7	0		9		110	3	225	35	0	52		4	113	0		3	0	3	91	0	0		0	87	18	0	19	
American Samoa	19	0			0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0		0	0		0	0		0			0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0
Andorra		0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	173	0	0	5	0	5			0	0	14	5	0	0	0	0	3		0	0	0	0	7	47	0	0		0	0	0		0	7	0	12	6	0	0		0	10	0	15	0	0	0	19	0	0			3	3	0	0	0
Anguilla	21		0	0		0	0	0	0		6	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Antigua-Barbuda	437		0	4	0	6	0	7	0	0	57	15	0		0	4	0	0	0	0	0	0	11	17					0				26	0	178	7	0		0	0	11	4	0	3	0	0	9	0	55		0	6	3	0	0	0
Argentina	5780	13		42	14	713	47	92	4	30	2392	88	0	20	4	82	14	8	13	12	13	3	81	87	44	39	8	20		5	70		325	7	513	54	0	55	12	31	71	68	9	29		28	295	0	0	103		128	67		18	
Armenia	3442		0	19	0	2636	12	20		5	53	9	0			30	5	0	0		4	3	32	62	14		0	6	0		59		69		187	9	0	29		10	29	0	12		0	9	30	0	0	12	0	28	35	0	0	0
Aruba	38		0		0		0			0	13		0	0	0	0	0	0	0	0		0	0			0	0	0	0	0	0	0		0	5		0	0	4	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0
Australia	2622	17	13	49	12	571	87	48	5	17	126	68		17	13	96	26	21	11	14	10	5	52	58	50	42	9	29	6	7	30	13	87	11	287	63	5	37	12	31	56		9	15		31	182		0	29	5	62	126	4	37	6
