Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Total	1031631	3873	1612	18434	2795	196622	13327	12237	2208	2811	103047	26134	1430	6764	2428	38373	8359	4679	4980	5243	4454	1497	24971	31392	17494	12999	1583	6635	503	4384	10343	2466	50790	3714	149505	17487	1144	13948	4646	7791	25032	3106	3798	3924	1521	8573	95557	108	1559	5932	877	28227	23060	779	6049	427
Africa	107241	519	118	1517	129	7150	2471	1093	497	996	2614	4925		54	187	3563	1237	957	687	941	406	547	7786	5631	1376	5115	111	1167	64	744	870	300	5158	154	12557	2805	339	3686	527	796	4139		864	341	546	1847	9513	8	8	514	142	5429	3160	124	768	34
Asia	429599	1784	910	6225	1077	107825	5003	3941	857	633	13243	10911	1409	5967	1003	16756	4317	2238	2197	2642	2016	544	9926	11205	11315	5327	734	3303	187	1924	4094	1310	19828	820	63423	7619	568	6825	1981	3604	12004	144	707	1503	715	3956	32341	67	694	2090	476	13748	12347	382	2773	161
Europe	81671	330	186	967	180	11121	1086	1952	156	409	7160	1794	9	243	206	6751	614	259	255	308	318	180	1555	3300	2117	739	124	583	94	120	757	276	4352	202	14497	1453	85	1481	255	854	2723	114	256	561	75	556	3834	14	24	440	126	1945	2853	93	660	69
North America	327771	995	272	9166	1315	63037	4140	3180	578	563	57795	6207		223	932	9771	1880	1089	1664	1164	1393	178	4068	8157	2247	1359	519	1254	110	1486	4095	363	13493	2404	43678	4153	126	1354	1618	2247	4911	2396	1564	1021	158	1775	45127		794	1821	83	4271	3823	104	1500	137
Northern America	181365	434	197	1091	354	13442	824	2925	403	511	54290	3353	0	149	122	1692	630	312	366	840	920	162	3661	7903	1072	559	202	594	76	559	1571	325	12660	202	41768	2116	79	782	300	591	4090	2317	1523	543	104	744	7275	0	794	487	76	3479	1415	77	358	37
Oceania	4742	7	37	83	9	1732	128	46	6	19	175	53		170	15	98	19	15	18	14	13	17	52	79	58	35	7	55	8	11	67	16	90	14	414	55	3	53	18	108	62		12	21	7	46	226		7	147	6	78	266	8	27	4
Latin America	225807	793	163	8535	1040	55215	3804	2271	289	240	25479	5073	3	176	892	9380	1519	894	1454	481	749	47	1953	3258	1525	1216	399	919	73	1024	2982	233	8657	2321	16676	3385	70	1073	1561	1834	1966	516	433	951	74	1401	42283	7	25	2251	50	3527	3004	95	1442	122
South America	79401	232	88	460	79	5620	488	2016	114	188	21974	2219	3	102	82	1301	269	117	156	157	276	31	1546	3004	350	416	82	259	39	97	458	195	7824	119	14766	1348	23	501	243	178	1145	437	392	473	20	370	4431	7	25	917	43	2735	596	68	300	22
Afghanistan	1617		0	35		587	26	22		7	21	61	0	0	22	20	4			7	13	5	20	14	20	9	0	23	0	5	15	0	39	3	172	15		9		18	22	0	0	11	3	7	53	0	0	17		262	35	0	4	0
