Origin	Total	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	U.S. Armed Services Posts	U.S. Territories	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Congo, Republic	1059	3		18	0	61	23	8	0		18	65	0	0	5	151	19	20	5	26	5	12	62	31	8	16		17		11			15		70	87		28		6	16	0	4	5	6	9	155		0	10	11	7	22	0	7	3
Costa Rica	2114	8	3	14	9	177	27	33	3	8	398	52	0		9	37	13		5	7	29		33	29	11	28	3	5			16	4	421	13	147	122		9	12	12	49	10	4	49		15	154		0	16		52	25	3	27	
Cote d'Ivoire	1486	3	0	16		52	24	17	9	13	28	87	0	0	0	28	23	6		7	5	0	142	38	23	30	0	9		18	3	5	67	0	428	37	5	49	5	3	70		8	9	9	5	101	0	0	9	0	51	29		9	0
Croatia	353		0	9		57	7	5	0	0	23	5	0	0	0	36	4				3	7	6	9	5	4		8	0	0	11	0	14		50	8	0	8	0		13	0		3			19	0	0	3		12	4	0	6	0
Cuba	32219	17		203	18	241	28	25	6	3	26475	173	0	4	0	84	10	13	36	674	81		19	50	96	30	8	97		185	592		636	90	311	172	0	31	24	78	153	71	3	23	5	71	1179	0	0	15		138	28		12	0
Cyprus	126	0		0		24		5		3	6	3	0	0	0	3		0				0	3	7			0				0	0	8	0	21	3	0	3	0	0	6	0	0	0	0		6	0	0	0	0		5	0	0	0
Czech Republic	676	3		9	4	105	20	7	0	8	118	15	0	8		51	6		0		5		12	24	13	7	0	5		0	10		25		59	23	0	8		9	26	0	0	9	0	11	23	0	0			13	20	0	3	
Czechoslovakia, former	74	0	0	0		11		0	0		14		0		0	7	0			0		0	0		0		0		0		3	0		0	3		0	0	0	0	5	0		0	0	3	5	0	0	0	0		0	0	0	0
Denmark	506		0			123	6	11		4	31	18	0		3	21		4		9	3		5	22	5	6	0	5		0	11		27	0	42	15		5		13	15		0		0		39	0	0			11	21	0	9	0
Djibouti	90	0	0		0		3	0	0		0	0	0	0	0		0	0		0	0	25	4		0	10	0		0	0	0	0		0			0	8	0	0	0	0	0	0	3	3	4	0	0	7	0	3	4	0	0	0
Dominica	244	0					0		0	0	24	6	0	0	0		0	0	0	0	0	0	14	13	5	0	0		0	0	0	0	20	0	54	0	0	0	0	0	4	0	0	0	0	0	15	0	78	0	0	0	0	0		0
Dominican Republic	41311	23	45	51	5	129	12	624	57	57	3392	213	0		5	103	67	15	19	19	141	11	342	3252	100	39	27	37	0	14	35	139	7013	10	18739	281		134	17	7	2227	2039	859	41	3	38	316	0	281	27	6	205	41	9	40	
East Timor		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ecuador	10591	5		36	14	472	25	444	12	14	1282	94	0	6	3	460	18	26	11	15	24	5	127	121	15	150	6	23		8	36	23	2167	8	3901	263	4	42	11	15	165	22	17	29	0	26	217	0	0	65	4	118	21	3	13	
Egypt	10294	11		55	17	1824	26	43	34	20	647	97	0	5	4	198	75	30	12	35	26	9	140	316	131	82		33	0	20	24	17	1827	7	1522	187	4	233	15	57	381		28	64	3	747	503		0	4		571	160	12	30	0
El Salvador	18260	26	16	128	203	5813	111	78	14	227	629	357	0	7	17	118	90	104	81	28	47	13	1521	601	30	136	8	52		108	317	11	606	15	1585	312		56	37	66	93	10	20	37	24	84	2381			113		1726	165	10	18	4
Equatorial Guinea	18	0	0	0	0		0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0		0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Eritrea	2138	6	0	43	0	325	79	12		60	26	97	0	0	11	48	20	27	11	21	7	0	151	43	19	51		35	0	3	60		7		58	68	4	68	16	25	44	0	0	8	17	19	254	0	0	13	0	162	199	4	12	0
Estonia	211	0	0		0	35	9		0		21		0	3	0	10	4			0		0	10	3		6	0			0		0	10		30	5	0	7	0		5	0	0	3	0		10	0	0	0		10	6	0		0
Ethiopia	13097	37	9	139	9	1130	582	34	6	580	177	697		7	37	228	106	102	100	116	28	26	1405	299	126	1059	9	175	9	65	480	6	78	10	263	218	21	320	54	165	254		7	29	141	238	1045		0	76		1288	999	27	67	8
Fiji	895	0	0	9	0	652			0		6	7		10		6		0		0	3	0			0		0	0	0		8				6	5	0		0	44	4	0	0	0	0		11	0		6		7	83	0	0	0
Finland	331	3	3	7		91	3		0	3	26	10	0	0	0	6	4	0	3				7	17	3		0	5		0		8	7		33	4	0	5		6	13	0		0	0	3	22	0	0	3	0	4	14	0	3	0
France	4425	8		46	10	999	36	45		36	444	73		13	16	119	31	15	11	15	24	7	87	207	64	32	5	26	5		49	14	189	14	892	78		41	7	31	104	6	10	35	0	24	253	0	12	18	6	87	140	3	24	4
Gabon	127		0	0		8						5	0	0	0	5	0		0	5		0	13	5	4		0	0	0	9		0			21		0		0	0	6	0	0	0	0		17	0	0		0	6		0		0
Gambia	1018	5	4	6		16	4	4		5	9	113	0	0	3	4		0	17	18	0	0	64	19	26	26		5		3		0	22	4	265	60		35		4	26	0	18	4	0	17	41	0	0		0	10	110	3	38	0
Georgia	1368			4	0	143	7	16	0	7	47	19	0		4	36	4	5		4			34	11	7	7	0		0		6		140		605	11		28	0	5	102	0	0	3	0	4	27	0	0	6		23	33	0	4	0
Germany	6032	82	19	99	15	1084	106	67	10	28	572	230		41	25	179	46	23	32	51	42	12	116	184	175	52	16	65	12	11	52	14	195	38	628	188	16	117	37	76	147	3	18	96	10	54	437	3		40	13	206	177	8	57	5
Ghana	10265	24	16	42	11	292	205	207	96	30	163	512	0	0	9	317	43	33	34	65	12	13	810	593	94	161	11	71	4	16	22	17	1068	8	2233	210	22	602	60	28	317		45	38		91	492	0		40	5	945	78	14	34	7
Gibraltar		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0
Greece	1361	5		14		163	9	46	9	5	100	15	0		0	83	9	4	5	8	6	3	41	121	36		0	9	0		7	6	66		289	12		37		3	92	0	9	7	0	11	64	0	0		0	30	11		12	0
Greenland		0	0	0	0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grenada	687	0	0	0	0	6	8	9			40	8	0	0	0	0	0		0			0	17	8		0	3	0	0	0	0	0	22	0	504	4	0	5			3	0	0	0	0		20	0	7	0	0	5	6		0	0
Guatemala	10224	126	7	155	55	3516	97	128	24	17	742	302	0	8	13	376	61	95	60	36	43	5	311	434	79	64	13	48		191	183	3	450	14	613	110		51	57	122	106	6	214	27	37	99	567	0		67	3	347	116		19	
Guinea	1518	12		7		7	6	19	9	3	10	74	0	0		17	22	10		6			120	32	19	19	3	6	0	0			50	0	745	15		69		0	100	0	7	3		22	33	0			0	31	16	0	9	0
Guinea-Bissau	43	3	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		10	0	0	0	0	0	0	0	0		0	4	0	0	3	0	0	0	0	4	0	0	0	0	0	0		0		0	0	4	0
Guyana	5897	0	0	9	4	49	4	94	13	8	525	102	0	0		20	6	5	5	0	6		147	42	12	90		7		0	8	0	473	0	4027	36	0	12			56	0	4	11	0	8	49	0	10	0	0	41	4		0	0
Haiti	20351	6	4	22	8	96	34	410	162	5	10409	260	0	0	4	115	45	18	15	28	68	12	287	1708	34	44		36		6	10	29	1669	5	3591	111	5	51	15	13	423	5	92	20	5	36	102	0	134	26	5	117	30	5	13	0
Holy See		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Honduras	8898	34		52	30	1079	58	107	15	25	1823	221	0	3	9	182	68	38	59	36	397	5	224	172	51	58	21	48		37	80	7	553	7	940	305		49	29	33	104	11	21	56	6	110	1169	0	0	32	3	379	86	4	58	0
Hong Kong	2226	8	0	16	0	948	3	14	3	6	45	21		29	4	58	13		6	3	4	0	48	72	18	7	4	5	0		19		58		400	21		11	10	20	39			7	0	6	95	0	0	6	0	41	140	0	9	0
Hungary	1052	7		11		181	8	15	3	4	223	21		7		25	6	6	3	7	5	0	7	41	10	5		6			37	5	61	4	128	24	0	28	0	4	23	0		4	0	7	50	0	0	4		32	16		11	0
Iceland	139		0		0	33	0		0	0	11	0	0	0	0	0			0	0			5	6		3	0	0	0	0	0	0	9	0	16		0		6			0	0	0	0	0	13	0	0	0	0	5	6	0	9	0
India	68458	304	11	772	293	13735	396	1106	365	59	2014	2500	0	16	57	4522	750	240	365	376	228	28	1587	1916	1904	835	190	584	11	191	184	224	8311	121	4445	1563	20	1601	244	406	2500	7	78	374	31	716	6499	0	18	168	37	2614	2278	50	608	6
Indonesia	2731	11		44	10	965	68	12	10	6	70	68	0	9	11	51	24		12	6	13	6	73	23	43	23	12	17		6	27	43	72	7	242	29	5	53	21	24	141		0	11	0	17	189	0		10	0	61	148	4	22	4
Iran	12863	52	5	190	25	5793	130	62	11	47	423	372		9	17	298	46	20	45	47	37	7	440	267	130	78	9	61	0	17	130	16	166	18	379	162	6	159	88	124	185		29	32	6	98	1425	0	0	91	7	625	396	19	57	3
Iraq	9552	14		471		2043	119	46		8	204	120	0		55	457	80	36	31	107	23	50	134	213	2047	50	0	133	0	101	67	25	50	37	275	114	15	166	27	74	146	0	11	5	10	253	942	0	0	110	5	355	232	7	78	0
Ireland	1626	10	3	30		281	14	18	3	12	101	23		5	3	59	18	5	13	11		3	25	188	16	14		8	0	3	4	6	73	3	298	28		22		13	39		8	17		11	98	0		4	7	28	81		6	0
Israel	3996	11		33		931	31	40	3	13	381	87	0	8		130	10	13	17	5	27		78	206	55	19	3	24	0		96	5	228	6	829	58		54	6	27	90			24	0	22	196		0		4	59	132	0	20	0
Italy	2960	8	9	26		525	25	30	6	33	380	56	0	11	9	104	15	6	8	7	5	0	75	144	69	18		10	4	4	28	8	147	11	550	56	0	65	7	24	99	8	6	22		22	150		0	12	3	71	57	0	20	
Jamaica	19400	67	6	65	20	240	61	965	84	51	5270	800	0	6	6	170	52	6	14	21	37	30	747	554	99	33	63	71		7	38	12	1215	7	6605	206	9	121	22	27	535		49	115		49	380	3	13	16	27	299	28	22	37	15
Japan	5925	23	18	55	15	2000	62	40	5	25	160	114	49	429	13	158	38	17	18	25	17	11	112	126	135	49	15	37	9	12	59	11	179	9	661	72	7	88	22	102	121	6		25	8	42	234	5	13	46	5	95	278	9	36	
Jordan	4188	25		55	11	609	31	21	7	0	230	67	0	3	3	503	53	11	27	51	131		54	59	199	32	17	60		10	23	13	301	12	275	110	5	266	14	21	113	11	5	30	3	62	336	0	19	11		165	37	10	72	0
Kazakhstan	1241		3	13		200	16	10		11	128	16	0			50		3	8	6		5	35	41	9	9	3	7	3	5	11	4	46	3	255	15	3	16	5	15	45	0		9		8	75		0	6	0	66	49		11	0
Kenya	6123	94	14	106	13	441	85	19	100	21	109	267	0	5	9	73	92	76	116	67	18	38	305	387	90	677	11	155		45	35	20	249	15	177	147	57	173	48	47	210	0	8	13	6	84	761	5	0	48		126	395	8	45	10
Kiribati		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Korea, North	48	0		0	0	10		0	0	0		0		0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	0	5	0	7		0	0	0	0		0	0	0	0	3	8	0	0		0	4		0	0	0
Korea, South	23166	415	45	179	41	7770	210	143	49	46	379	1144	65	219	20	781	128	54	93	73	43	19	700	417	368	110	39	149	8	14	167	23	1684	45	2147	345	11	228	88	210	558	0	12	77	8	166	1427	19	40	117	4	1157	795	21	86	10
Kosovo	839			10	3	19	5	50	0	0	39	12	0	0	7	32	5	5		5		0	8	26	31	3	0	16			3	3	45		326	10		20	11	4	28	0	0	0		8	51	0	0		0	8	3	0	27	0
Kuwait	937	10	0	14		136	9	6	4		53	14	0		4	60	12	4	5	6	17		22	22	42	9		14	0	4			56	3	60	20		46	7	7	27	0		4	0	18	120	0	0	3	0	51	15	3	16	0
Kyrgyzstan	652	4	3	3	0	85	7	5	0	4	31	16	0		5	69				7	0	0	11	18	5	10		4			6	0	15	3	133	14		16			35		3	4		4	24		0	6	0	39	40	0	3	0
Laos	923	4	12	3		209	5	9	0	0	17	17	0	5	0	21	4	14	19		5		10	17	9	178	0	6	0		9			0	12	34	0	13	8	10	14	0	8	8		24	51	0	0	10	0	16	25		105	0
Latvia	424		4	3		55	4	4		0	56	12	0			22	4		3	4		3	11	17	5	6		4	0	0	0		17		62	5	0	9	5		12			6	0	10	21	0	0		0	21	9	0	9	
Lebanon	2783	12		31	3	489	8	18	3	9	146	35	0	0	0	69	28	8	16	20	9	0	33	206	574	23		17	0	5	13	26	67		169	33	3	126	13	24	54		13	9		15	238	0	0	7		149	35	9	9	0
Lesotho	20	0	0		0	3	0	0	0	0	0	3	0	0	0		0	0	0		0	0		0		0	0	0	0	0	0	0	0	0		0	0		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liberia	3334	14	0	47	0	72	19	27	58	4	28	158	0		0	41	22	68		23	7	0	274	104	47	418		36	0	6	8	10	264		197	152	11	60	15	19	652	0	131	6	16	29	145	0	0	9	0	85	36		9	
Libya	376	3	0	8		60	13	8			19	11	0	0		19	7	0	0			0	0	8	26		4	5	0				10	0	23	7	0	28	8	8	5	0		6	0	4	26	0			0	12	23	6		0
Lithuania	854		0	10		64	9	21	4		72	17	0			287	9		3				14	32	13	7	0	6	0	3	10		47		76	16	0	21	0		30					8	15	0	0	6	0	11	16	0	5	0
Luxembourg	40	0	0		0	4			0	0	7		0	0	0		0	0	0	0	0			0		0	0	0	0	0	0	0			5	3	0		0	0		0	0	0	0	0	4	0	0	0	0		0	0	0	0
Macau	106	0	0	0	0	46	0	0	0	0		3	0	0		6		0		0	0	0	0	8	0		0	0	0	0		0		0	15	0	0	0	0	3		0	0	0	0	0	9	0	0		0			0	0	0
Macedonia	895		12	5		21	6	35	0		52	6	0	0	0	131	50	13	8		4	3		14	41		0	12	0	0	15		182		134	4	0	22	0	4	5				0		27	0	0	0		12	10	0	49	0
Madagascar	95		0	0	0	7	0	0					0	0	0		0		0		0	0	9		0	3	0			0	0	0	9		7	3	0	0	0	0		0	0	0	0		5	0	0	3	0	26	3	0	0	0
Malawi	159	6	0			12	3	4	0		0	6	0		0		18		0		0		12	3	18	6	0	0	0	0	0	0	4		4	5	0			0	3	0	0	0	0		26	0	0	0	0	6	4			0
Malaysia	2477	6		38	12	420	38	13	0		65	104	0	12	10	75	129	35	40	31	11		56	46	64	35	3	39		11	10	6	58	5	323	73	3	36	80	19	50	0	6	14		30	291	0	0	9		42	99	4	17	
Maldives	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Mali	667	0	0	6		11	23		3		7	13	0	0	0	14	5	3			0	0	67		3	5	0	4	0				10	0	283	10		32		0	86			0	0	5	31	0	0			10	8	0	4	
Malta	43	0	0		0	5			0	0			0	0	0	0	0	0			0	0		0			0	0	0	0	0	0			15		0		0		0	0	0	0	0			0	0		0	0		0	0	
Marshall Islands	46		0	0	0	3		0	0	0	0	0	0			0	0	0	0	0	0	0	0	0		6	0		0	0	0	0	0	0		0	0		0	0		0	0	0	0			0	0	14	0		3	0	3	0
Mauritania	354		0		0	3	14	0	0	0	3	5	0	0	0	5	7		0	19	11	0	5	3	3	0	4	9	0	0		0	3	0	94	4	3	81	0	0	11	0			0	27	4	0	0	0	0	21	5	0		0
Mauritius	83		0	3	0	11	0	0	0	0	6		0		0	0	0		0	0		0	7		0		0	0	0		0		7	0	10	5	0	3	0	0		0	3	0	0	0	4	0	0		0	9	3	0	0	0
Mexico	135028	478	51	7355	873	45908	2917	165	177	39	3146	2564	0	66	707	6735	1056	743	1356	377	415	16	379	243	1092	889	265	585	31	910	2366	55	823	2050	1689	1893	49	608	1249	1554	766	91	58	439	43	940	35136		0	1229		763	2488	30	1029	135
Micronesia, Federated States		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0
Moldova	2485	34	12	19		344	30	14	8	6	323	67	0	6		160	13	10		3	32	4	51	134	19	49	4	17		4	35	6	46	4	267	82	3	43	6	64	66	0		15		17	50	0	0	8	30	45	288	0	19	17
Monaco	8	0	0	0	0		0	0	0	0	4	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Mongolia	729	3		6	3	246	36			5	7	4	0	3		62	8	4				0	26	0			0	4	0	4	6	0	3	0	21		0	3	0	5	10	0	0	5	0	4	12	0	0	21	0	152	46	0	5	0
Montenegro	265	0	0	0	0	17		7	0		8		0	0	0	14					0		3		40		0	0	0	0	3	0	13	0	129		0	0	0	0	4	0	0	0	0		6	0	0		0			0	0	0
Morocco	3336	13	0	12	4	234	70	66	13	21	351	62	0			151	26	11	8	26	12	3	74	360	45	40	18	26		5	28	12	208	5	400	135	3	93	34	13	191	4	17	19		16	144	0		7	7	263	47	3	26	3
Mozambique	73	0	0	0	0	6			0	0		3	0	0				5	0	4	0	0	5		3	0	0	0	0	0		3	3	0	8	0						0		0	0	0	8	0	0				0	0		0
Namibia	57	0	0		0	5	0	3	0	0		6	0	0	0	0	0	0	3	0	0	0	4				0	0	0	0	0	0	3	0	7			0	0			0	0	0	0			0		0	0	7		0		0
Nauru		0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nepal	13046	67	11	165	21	1274	485	149	11	11	114	453	0	14	61	313	43	73	103	195	47	6	800	586	192	204	9	108	3	128	30	165	116	41	1702	294	115	386	58	89	840		35	13	93	99	1632	0		100	90	1091	264	30	108	6
Netherlands	1142	7		24		193	15	25		9	118	31		12	3	39	10	13	3	5	6		19	44	30	22		12	0		4	3	28	6	111	23	0	36		11	32	6	7	8		10	101			4	0	44	40		9	
Netherlands Antilles	128	0	0		0	4	0		0	0	39	4	0		0		0		0	0	0	0	5	4	3		0		0	0	0	0	7	0	26	3	0		0	0	4	0		0	0	0	9	0	9	0	0	0	0	0		0
New Caledonia	6	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
New Zealand	921	8	8	11		262	37	12	0	4	35	12	0	19	7	18	6	8	0	3		3	12	31	14	9		15	3	4	5	3	26	3	84	18	0	12	4	31	12	0	4	8		8	52		0	25		18	54	0	4	
Nicaragua	3048	7	0	27	5	619	12	9		8	1294	44	0			40	19	8	9	8	36	8	76	22	14	19	8	13			33		87		95	49	0	23	6	9	24	23	3	19		13	208	0		7	0	85	23		21	0
Niger	37	0	0			0	0	0	0	0	0	0	0	0	0	0		0	0		0	0		0		0	0	0	0		0	0		0	7	5	0	0	0	0	10	0	0	0	0	0	3	0	0	0			0	0	0	0
Nigeria	13840	74	9	105	54	1051	93	124	67	91	365	925	0		11	690	374	30	51	59	79	13	1693	345	221	291	29	128	0	23	49	27	780	15	1412	300	20	285	130	25	363	0	89	64	9	153	2670		0	19		236	105	12	75	3
Niue		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
Norway	335		0	4	3	63	5	5	3	4	35	6	0	4	0	4	4	0			0	4	7	9	4	9	0			0	5		11	5	22	3		3		3	7			0	0	4	53	0	0	4		6	15	0	6	
Oman	73	0	0		0	14	0	0	0		5		0	0	0			0			0	0	4		0		0	0	0	0	0	0		0	5		0	0		0	3	0	0	0	0	0	16	0	0	0	0	7		0	0	0
Pakistan	13251	44	3	74	42	1544	69	170	19	16	428	318	0	11	6	848	111	51	59	61	104	5	559	247	347	147	20	116	0	18	46	28	993	47	2556	210		182	99	31	398		37	36		103	1787	0		32		890	221	14	91	5
Palau	16	0	0	0	0	6	0	0	0	0	0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Panama	1234	7		17	6	107	11	7	3	6	266	59	0	0		31	10	4	6	6	17	0	35	32	5	5	11	14		6	8	3	38	8	199	35		10		5	19	9	4	16	0	19	102	0	0	4	3	54	15	0	5	0
Papua New Guinea	27	0	0		0	5	0		0	0			0	0	0		0	0	0	0	0	0			0	3	0		0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	3	0	0	0	0	4		0	0	0
Paraguay	448		0			31	6	19	0		65	6	0	0	0				5	0		0	25	3	4	4	4	5	0			0	55		141		0	3			5	4			0	0	18	0	0	9	0	11		0		0
Peru	12564	34	20	76	26	1885	146	396	18	38	2559	264	0	10	23	163	61	14	47	31	19		425	164	58	42	12	38	8	25	102	14	1800	12	1362	213	4	111	42	56	178	31	32	45	6	46	672	0		286	13	714	130	11	66	10
Philippines	54446	196	611	880	161	20261	286	222	109	78	2608	498	965	3761	85	2460	354	143	190	194	232	47	1193	338	523	349	119	369	66	71	1674	78	2161	266	2700	726	204	557	188	373	585	4	58	257	39	485	2876	27	290	168	25	1226	1741	63	251	55
Poland	6430	14	7	47	7	334	41	269	12	8	287	52	0	12	6	2067	31	10	5	10	10	5	46	179	123	18		22	4	9	26	13	750	3	1324	51	7	38	11	13	169	0	25	19		23	113	0	3	10		91	50		46	
Portugal	918	3	0	6		108	4	26	0		63	8	0			10	0				0		20	192	12	6							187	4	94	8	0	5			20		53	4		7	21			4		12	13	0		0
