Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Fiji,2115,0,,9,0,1718,3,,0,,26,9,,28,4,4,0,0,,,3,0,,5,3,,0,3,,0,19,,9,4,5,5,0,,4,43,,,,0,0,0,16,0,5,10,,,164,0,0,0
Finland,542,3,,6,,125,9,5,0,7,59,33,,4,,15,,3,,0,4,4,8,13,7,13,4,7,0,0,3,0,11,3,40,6,0,7,3,6,13,,0,6,0,0,70,0,0,5,0,11,9,0,13,0
France,4258,14,5,54,7,910,39,91,4,51,536,110,,31,9,127,41,3,14,6,17,4,125,180,71,62,4,19,6,7,36,25,171,7,654,80,3,41,12,39,85,,11,31,3,20,195,0,5,27,3,126,95,,38,
French Guiana,15,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0
French Polynesia,37,0,0,0,0,9,0,0,0,0,6,,,13,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,3,0,,0,0,0,0
Gabon,85,6,0,,0,4,,,0,8,4,7,,0,0,0,,,,0,0,0,6,,3,0,0,0,0,,0,0,3,0,8,,0,,0,0,3,,3,0,0,,8,0,0,,,6,0,,0,0
Gambia,897,7,6,4,0,16,,8,,5,14,103,,0,0,4,4,,23,6,0,,92,10,26,29,4,4,0,,,0,21,0,196,59,0,39,,5,37,,27,5,0,15,32,0,,,0,14,48,0,21,0
Georgia,2003,7,,10,0,497,30,23,0,,81,45,,0,3,59,4,6,0,4,,0,29,32,16,9,0,6,,,14,0,174,4,709,11,0,23,5,11,79,,,12,0,4,24,0,,5,0,27,29,0,,0
Germany,8436,85,23,191,27,1308,145,122,18,42,900,323,,68,20,274,102,35,40,90,30,39,189,229,310,95,27,116,24,19,57,45,287,58,863,248,17,153,44,93,204,,16,140,15,102,490,0,17,46,15,279,233,13,99,11
Ghana,9367,12,,56,20,308,123,177,49,36,119,546,,,3,387,33,18,20,42,6,4,700,765,80,177,4,38,,21,34,7,809,3,1910,214,7,536,63,20,254,,50,26,,73,368,,,20,4,1134,44,7,32,0
