	Total_2006	Africa_2006	Asia_2006	Europe_2006	Northern America_2006	Oceania_2006	Latin America_2006	Total_2007	Africa_2007	Asia_2007	Europe_2007	Northern America_2007	Oceania_2007	Latin America_2007	Total_2008	Africa_2008	Asia_2008	Europe_2008	Northern America_2008	Oceania_2008	Latin America_2008	Total_2009	Africa_2009	Asia_2009	Europe_2009	Northern America_2009	Oceania_2009	Latin America_2009	Total_2010	Africa_2010	Asia_2010	Europe_2010	Northern America_2010	Oceania_2010	Latin America_2010	Total_2011	Africa_2011	Asia_2011	Europe_2011	Northern America_2011	Oceania_2011	Latin America_2011	Total_2012	Africa_2012	Asia_2012	Europe_2012	Northern America_2012	Oceania_2012	Latin America_2012	Total_2013	Africa_2013	Asia_2013	Europe_2013	Northern America_2013	Oceania_2013	Latin America_2013	Abbreviations
Georgia	32202.0	6241.0	10414.0	3941.0	4401.0	147.0	6959.0	27353.0	4938.0	9489.0	3016.0	3872.0	104.0	5897.0	27769.0	5248.0	8762.0	2972.0	3941.0	96.0	6709.0	28396.0	5944.0	9900.0	2427.0	3820.0	101.0	6169.0	24833.0	4649.0	10173.0	1971.0	3300.0	77.0	4646.0	27015.0	5031.0	11310.0	1845.0	3434.0	77.0	5301.0	26134.0	4925.0	10911.0	1794.0	3353.0	53.0	5073.0	24387.0	4268.0	10369.0	1849.0	3104.0	80.0	4647.0	GA
Hawaii	7501.0	53.0	6323.0	378.0	211.0	266.0	260.0	7236.0	65.0	6227.0	266.0	172.0	291.0	211.0	6572.0	49.0	5648.0	276.0	152.0	193.0	252.0	6929.0	49.0	6058.0	265.0	145.0	191.0	219.0	7037.0	55.0	6250.0	259.0	125.0	165.0	178.0	7296.0	47.0	6502.0	269.0	144.0	174.0	160.0	6764.0	54.0	5967.0	243.0	149.0	170.0	176.0	6226.0	56.0	5437.0	264.0	137.0	126.0	156.0	HI
Idaho	2377.0	170.0	533.0	504.0	172.0	31.0	964.0	2044.0	195.0	521.0	449.0	126.0	17.0	732.0	2766.0	240.0	561.0	535.0	141.0	42.0	1243.0	3120.0	482.0	1009.0	321.0	149.0	20.0	1137.0	2556.0	250.0	1099.0	210.0	127.0	15.0	847.0	2602.0	285.0	1162.0	194.0	117.0	18.0	821.0	2428.0	187.0	1003.0	206.0	122.0	15.0	892.0	2120.0	190.0	762.0	214.0	128.0	27.0	791.0	ID
Illinois	52459.0	3590.0	17774.0	14305.0	2728.0	136.0	13794.0	41971.0	2924.0	16621.0	9870.0	2191.0	106.0	10170.0	42723.0	3156.0	15259.0	8830.0	2245.0	116.0	13040.0	41889.0	3914.0	16138.0	8514.0	2270.0	137.0	10790.0	37909.0	3092.0	16574.0	7316.0	1857.0	88.0	8878.0	38325.0	3032.0	17689.0	6799.0	1817.0	107.0	8762.0	38373.0	3563.0	16756.0	6751.0	1692.0	98.0	9380.0	35988.0	3027.0	15863.0	6887.0	1779.0	104.0	8183.0	IL
Indiana	8125.0	1153.0	3090.0	1281.0	894.0	49.0	1634.0	6639.0	905.0	2732.0	1034.0	685.0	31.0	1239.0	8028.0	1148.0	2968.0	1082.0	809.0	38.0	1968.0	9087.0	1388.0	4371.0	900.0	671.0	37.0	1693.0	8539.0	1158.0	4504.0	698.0	590.0	42.0	1532.0	8262.0	1140.0	4290.0	654.0	607.0	35.0	1519.0	8359.0	1237.0	4317.0	614.0	630.0	19.0	1519.0	7668.0	1177.0	3818.0	623.0	594.0	48.0	1376.0	IN
Iowa	4086.0	729.0	1167.0	631.0	483.0	38.0	1031.0	3103.0	400.0	1136.0	378.0	313.0	19.0	857.0	3696.0	599.0	1242.0	397.0	320.0	17.0	1120.0	3963.0	982.0	1212.0	389.0	348.0	24.0	1008.0	4245.0	904.0	1736.0	327.0	300.0	19.0	955.0	4624.0	781.0	2357.0	280.0	304.0	25.0	873.0	4679.0	957.0	2238.0	259.0	312.0	15.0	894.0	4105.0	742.0	1799.0	288.0	364.0	24.0	883.0	IA
Kansas	4280.0	553.0	1540.0	388.0	384.0	19.0	1390.0	4141.0	538.0	1635.0	334.0	316.0	20.0	1296.0	5344.0	583.0	1881.0	372.0	352.0	34.0	2117.0	5319.0	841.0	2045.0	345.0	388.0	22.0	1676.0	5501.0	697.0	2354.0	307.0	360.0	16.0	1766.0	5086.0	656.0	2220.0	256.0	387.0	27.0	1538.0	4980.0	687.0	2197.0	255.0	366.0	18.0	1454.0	5000.0	674.0	2100.0	272.0	388.0	10.0	1532.0	KS
Kentucky	5506.0	760.0	1905.0	839.0	1337.0	30.0	624.0	4340.0	564.0	1612.0	797.0	814.0	27.0	518.0	5315.0	985.0	1490.0	831.0	1348.0	23.0	627.0	5260.0	1321.0	1963.0	489.0	928.0	21.0	535.0	4930.0	896.0	2302.0	392.0	786.0	19.0	516.0	5403.0	926.0	2728.0	339.0	816.0	23.0	566.0	5243.0	941.0	2642.0	308.0	840.0	14.0	481.0	5159.0	926.0	2307.0	366.0	959.0	21.0	562.0	KY
Louisiana	2693.0	207.0	1274.0	306.0	524.0	12.0	356.0	3475.0	240.0	1522.0	391.0	790.0	18.0	500.0	4011.0	280.0	1705.0	448.0	831.0	18.0	706.0	4299.0	325.0	1793.0	422.0	954.0	20.0	744.0	4397.0	363.0	1948.0	393.0	894.0	23.0	740.0	4226.0	371.0	1920.0	379.0	867.0	15.0	631.0	4454.0	406.0	2016.0	318.0	920.0	13.0	749.0	4355.0	344.0	1866.0	377.0	1027.0	20.0	694.0	LA
Maine	1719.0	511.0	527.0	361.0	221.0	10.0	87.0	1488.0	442.0	453.0	291.0	188.0	24.0	90.0	1617.0	740.0	389.0	243.0	176.0	9.0	60.0	1675.0	819.0	369.0	239.0	158.0	9.0	79.0	1349.0	401.0	508.0	188.0	172.0	4.0	75.0	1467.0	384.0	601.0	212.0	174.0	19.0	76.0	1497.0	547.0	544.0	180.0	162.0	17.0	47.0	1208.0	399.0	395.0	177.0	169.0	10.0	53.0	ME
