Origin,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,1107126,3877,1534,20638,2997,238444,12741,12190,2295,2652,133445,27769,1305,6572,2766,42723,8028,3696,5344,5315,4011,1617,27062,30369,17947,15832,1679,7078,543,3668,11768,2466,53997,3509,143679,15174,662,14595,4306,9028,23646,3287,3735,4241,773,8348,89811,73,1044,6087,771,30257,23170,798,7306,458
Africa,105915,332,68,1711,116,7783,1799,1004,445,870,2786,5248,,49,240,3156,1148,599,583,985,280,740,8406,5543,1673,7659,148,1076,42,811,668,445,5144,112,11020,2411,259,4302,390,682,3989,,939,358,281,2167,7458,8,13,596,159,5526,2857,92,707,22
Asia,383608,1680,813,4417,902,111555,3385,3762,805,543,12287,8762,1269,5648,561,15259,2968,1242,1881,1490,1705,389,9203,9559,9454,4776,768,2897,186,894,3906,890,21182,679,54350,5259,197,5404,1519,3284,9287,149,654,1360,232,2954,24506,36,205,1440,202,13119,10267,361,2968,138
Europe,119138,507,267,1673,224,18496,1779,2444,224,411,8637,2972,13,276,535,8830,1082,397,372,831,448,243,2506,4420,3323,1170,158,1325,125,230,904,487,5855,261,19528,1927,102,2479,358,1779,4349,125,306,859,81,868,4944,11,25,664,260,3050,4606,144,1155,93
North America,393253,1074,275,12137,1624,91278,5069,2989,648,575,77304,7943,,243,1263,13634,2386,1335,2229,1743,1227,197,4892,7140,2981,1599,495,1416,145,1589,5730,424,12473,2333,40904,4128,81,1658,1789,2922,4612,2395,1399,1141,156,1906,48349,,778,2273,99,5274,4581,141,2088,172
Northern America,154102,212,123,1026,55,3675,444,2305,316,182,67427,2680,0,137,101,1122,444,138,144,1094,418,151,1938,5699,1291,389,125,355,76,105,1202,309,9310,226,34331,1086,56,679,136,471,3039,2245,956,356,42,440,3240,-4,778,272,82,1277,1071,56,273,50
Oceania,5263,25,51,83,11,1900,120,66,10,25,170,96,14,193,42,116,38,17,34,23,18,9,62,90,59,52,5,57,14,6,79,10,108,10,391,63,5,55,24,110,80,,10,15,,36,254,0,3,170,7,104,275,4,30,10
Latin America,463569,1201,279,12258,1705,95863,5321,4539,757,711,105653,9795,0,286,1300,14741,2508,1338,2368,1857,1407,135,6067,9936,2595,1912,550,1565,107,1669,6029,494,20494,2376,51293,4981,43,1914,1908,2943,5190,2957,1749,1477,138,2095,50901,8,337,3051,73,7824,4203,148,2270,147
South America,98555,255,58,597,118,7200,578,1910,162,223,32062,2707,,161,121,1651,391,105,240,232,310,39,1944,3590,420,563,103,293,31,134,477,200,9182,110,17332,1357,18,651,215,243,1283,604,425,505,19,388,4210,,18,941,44,3151,564,54,339,22
Afghanistan,2813,6,0,94,,885,51,17,5,8,35,57,0,,24,50,22,8,17,26,7,,60,35,19,19,0,90,0,33,20,,52,12,291,17,,19,6,12,60,0,,11,3,37,131,,0,24,,443,78,,12,6
