,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1046539,1982,1145,24055,2330,297909,11972,9589,1425,1492,128328,20417,998,5205,2240,45224,5104,3503,4072,3093,3018,924,23342,28728,14634,9220,944,5849,358,2866,13150,1617,59950,3058,90572,8509,336,11142,3335,9257,19673,2622,3721,3488,572,5560,82129,565,934,5394,518,29949,18665,505,5200,245,5907
Africa,54420,129,38,790,84,4968,989,504,163,379,2114,2787,8,42,43,1755,456,276,264,292,135,219,4571,3085,728,3077,67,652,10,308,458,124,3452,62,3844,952,53,2129,196,356,1899,8,609,241,142,840,4107,54,13,218,31,3916,1036,35,284,12,416
Asia,323792,934,586,4490,732,109898,3208,2667,600,281,10522,7003,918,4286,358,14070,1829,1043,1553,1091,1368,280,8867,8399,8234,3445,501,2443,77,874,4175,579,21870,498,21542,2951,83,4685,1215,3347,8478,87,602,1305,152,2454,21272,217,79,1162,151,14218,7979,248,2133,50,1703
Europe,115187,266,192,2220,147,17573,2077,2260,148,159,8352,2379,15,229,436,11778,817,806,310,805,199,221,2260,5283,3357,1186,85,1506,110,299,1070,423,8338,206,13439,1058,120,2523,285,2059,3941,83,682,609,151,656,3768,74,19,770,207,2788,4673,76,999,35,660
North America,462372,525,235,15777,1283,155006,5032,2586,413,509,82363,6491,30,313,1316,16018,1752,1274,1721,735,1123,160,5639,9251,1929,1117,219,1016,132,1284,6897,333,15399,2159,37104,2686,61,1307,1440,3175,4132,2050,1411,886,112,1243,49084,152,807,2348,102,5667,4317,97,1528,128,2498
Northern America,61965,102,87,629,41,2481,364,783,97,127,9020,1131,16,90,74,514,175,81,84,110,120,117,1215,4635,681,219,36,133,89,58,243,248,7012,58,20214,522,48,487,82,276,1967,1622,925,217,27,218,1567,34,789,224,93,714,676,29,136,21,300
Oceania,4781,8,37,89,5,2192,148,23,4,7,134,45,19,209,17,71,27,10,22,14,13,5,50,70,46,32,8,33,11,5,63,9,67,14,162,50,,41,12,104,46,0,5,16,4,26,201,12,,206,,91,226,3,26,5,33
Latin America,485260,539,204,15816,1318,160683,5184,3348,413,538,97926,7039,22,345,1312,16966,1796,1286,1834,770,1174,82,6364,7251,1557,1258,244,1074,61,1320,7137,233,19192,2215,31349,2961,13,1244,1527,3110,3336,819,897,1084,96,1337,50963,174,18,2810,32,8206,4067,114,1616,122,2742
South America,84853,116,56,668,76,8158,516,1545,97,156,24583,1679,8,122,70,1462,219,93,197,145,171,39,1940,2635,309,360,61,191,18,94,483,148,10805,114,14459,797,,424,169,211,1171,391,411,415,11,312,3446,56,,686,23,3253,426,46,224,15,544
Afghanistan,2650,3,0,102,,1021,39,15,14,,36,53,0,0,22,42,25,7,6,9,10,7,36,39,19,5,0,76,0,18,25,7,86,18,169,10,3,17,0,23,37,0,3,,6,24,114,0,0,24,,409,32,0,6,,26
Albania,2972,6,0,27,0,63,8,140,,5,247,4,0,0,,183,7,0,6,3,0,4,30,426,444,4,0,48,,,20,5,168,,483,14,,100,8,4,263,0,0,17,0,8,61,0,0,6,3,57,19,0,46,0,25
