,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Namibia,29,0,0,,0,3,,0,0,0,3,,0,0,0,,0,0,0,0,0,0,3,0,,0,0,,0,0,0,0,0,0,,,0,0,0,0,,0,0,,,0,5,0,0,0,0,0,,0,,0,0
Nepal,2235,14,4,31,3,308,157,48,0,6,40,29,0,8,,57,15,10,14,23,5,0,145,127,21,39,,16,0,26,10,27,33,15,257,43,0,10,5,22,21,0,4,14,4,8,257,5,0,5,5,182,51,0,32,,74
Netherlands,778,4,4,14,,149,35,12,,4,56,28,0,13,4,23,,,3,,4,,18,30,29,10,,9,4,,3,3,26,3,58,15,0,20,4,7,17,,,9,,16,44,,0,9,0,24,27,0,12,0,9
Netherlands Antilles,60,,0,0,0,6,0,0,0,0,15,,0,0,0,,,0,0,0,0,,,,0,0,0,0,0,,0,0,,0,9,,0,0,,0,3,0,,0,0,0,,0,4,0,,5,,0,0,0,0
New Caledonia,4,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,480,,4,7,,131,19,4,0,0,29,13,,12,3,5,0,,,0,0,,12,20,6,4,,6,3,,10,3,6,,28,8,,9,,6,14,0,,4,,6,32,,,9,0,7,26,0,7,,2
Nicaragua,5092,9,,28,8,1068,19,14,,7,2577,89,0,3,5,41,24,6,9,5,68,,90,36,7,23,5,11,,8,54,0,106,4,127,84,,21,9,21,24,10,3,18,0,14,227,13,,19,,54,35,,21,0,57
Niger,124,0,0,,,,,,0,0,,,0,0,,0,7,0,0,,,,19,,3,0,0,0,0,,0,,4,0,13,23,0,5,,0,22,0,0,,0,0,,0,0,0,0,,3,0,0,0,2
Nigeria,9344,52,10,85,20,773,59,78,46,47,273,694,0,3,,572,102,17,38,28,38,3,1065,299,144,203,14,66,,18,40,12,580,10,974,228,7,160,68,22,258,0,72,70,0,106,1622,9,,10,,150,57,5,46,,82
Norway,90,0,0,4,0,12,4,,0,0,5,0,0,,,5,3,,,0,,0,0,,0,3,0,0,,0,,0,5,,3,5,0,,0,3,,0,,,0,0,7,,0,,0,3,7,0,0,0,0
Oman,37,0,0,0,0,5,0,,0,0,3,3,0,0,0,,0,0,0,,0,0,,0,0,,0,,0,0,0,0,,0,4,,0,0,,0,0,0,0,0,0,0,9,0,0,0,0,0,,0,0,0,0
Pakistan,10655,61,6,82,26,1359,60,179,40,5,418,355,,3,,851,57,20,33,45,77,3,393,206,247,60,16,95,0,5,55,18,599,7,1753,197,6,129,58,25,299,,27,40,,84,1671,,,25,4,517,128,5,63,4,231
Palau,68,0,,0,0,4,,0,0,0,,,5,8,,0,0,0,,0,0,0,,0,0,,0,,0,0,,0,0,0,,5,0,,3,0,0,0,0,3,0,0,4,6,0,0,0,6,7,0,0,,2
Panama,1340,10,,13,6,113,16,6,,3,289,97,0,6,0,25,5,,9,8,9,,39,25,8,10,8,11,0,3,20,0,37,8,181,46,0,18,10,3,21,8,,13,0,31,125,6,0,,0,42,25,,6,0,11
Papua New Guinea,17,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,,0,0,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
Paraguay,289,,,4,0,25,3,5,0,,62,6,0,0,0,0,0,0,9,0,0,0,9,5,0,,0,,0,0,5,0,23,0,75,4,0,0,0,,5,0,0,,0,,11,,0,6,0,11,4,0,,0,3
Peru,10266,27,6,98,13,1535,102,253,13,18,2803,222,,22,23,170,46,3,17,29,17,6,290,197,28,33,9,36,7,13,103,19,1179,18,836,179,3,102,54,56,152,25,30,62,,51,417,11,,178,7,400,87,6,37,4,210
Philippines,42520,110,341,641,77,17288,199,286,67,46,1936,382,509,1644,89,2238,291,67,105,173,108,36,863,309,357,232,89,179,30,46,1668,49,2247,87,2157,445,24,328,176,246,425,,51,277,24,223,2457,213,39,119,,804,1240,30,158,27,253
Pitcairn Island,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,8844,11,5,79,,326,87,567,8,5,419,62,0,16,7,2860,40,3,4,16,8,10,59,241,147,30,,18,,8,50,18,1117,11,1662,70,0,89,14,39,243,,29,36,,29,116,8,0,11,6,59,83,5,52,,51
Portugal,1426,,0,4,,122,3,91,3,,89,6,0,0,5,7,,,0,,0,5,18,314,,0,0,3,0,,,10,422,,113,12,0,,,3,32,0,83,3,0,,8,3,0,,,12,8,0,,0,22
Qatar,101,,0,,0,7,0,0,,0,11,4,0,0,0,4,0,,,0,0,0,5,,7,,0,,0,,0,0,,0,6,3,0,3,3,,,0,0,0,0,,19,0,0,,0,4,,0,,0,1
Romania,4314,20,7,187,13,621,58,65,9,7,353,212,,8,17,475,34,7,6,11,15,6,46,92,235,22,5,25,,7,65,23,117,6,435,73,0,164,12,109,114,0,5,42,3,50,192,6,3,10,7,54,204,0,26,,26
Russia,8257,31,40,82,11,1448,207,97,14,7,542,165,,19,38,326,58,20,25,50,13,22,196,412,73,115,14,59,13,15,105,41,398,33,1252,131,5,164,42,190,294,,16,67,8,55,263,10,0,40,10,155,695,4,86,6,72
Rwanda,265,0,0,11,0,14,6,,3,,6,22,0,0,0,6,5,,7,,0,,10,9,15,8,0,,0,0,5,6,,0,24,5,,16,0,3,9,0,9,0,0,9,24,0,0,,0,10,5,0,,,3
Saint Kitts-Nevis,306,,,0,0,,,,0,0,64,14,0,,0,,0,,0,,0,0,13,5,,,0,0,0,0,,0,8,0,77,7,0,,3,0,6,5,4,0,0,,3,0,72,0,0,6,0,0,0,0,1
Saint Lucia,600,,0,3,0,19,3,29,,,93,25,0,,0,3,0,,,,5,0,13,12,,0,0,0,0,0,,0,14,3,215,9,0,4,,0,13,,,8,0,,30,4,58,0,,13,0,0,3,0,1
Saint Vincent and the Grenadines,416,0,,4,,10,,3,3,,45,11,0,0,0,,0,0,0,,,0,9,13,3,,0,,0,0,,0,22,0,219,6,0,0,3,,9,,0,3,0,0,10,,11,0,,9,,0,0,0,2
Samoa,172,0,5,5,0,36,,0,0,0,5,,0,29,,,0,0,0,5,,,0,0,,0,0,9,,0,4,0,0,0,0,,0,0,0,5,,0,0,0,0,0,,,0,32,0,0,23,0,0,0,0
San Marino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,9,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,814,7,,13,3,115,9,5,4,0,44,16,0,0,0,59,7,,5,6,3,,16,21,63,17,,10,0,,8,0,40,,58,12,,34,,6,35,0,0,5,,8,98,0,0,3,,39,12,,5,0,11
Senegal,752,,0,3,,32,9,9,5,5,19,38,0,,0,16,15,,4,14,,0,53,21,15,5,4,14,0,,6,,27,,170,31,0,58,9,5,18,0,35,11,0,13,26,0,,3,,14,13,,6,0,10
Serbia,85,0,,0,0,,0,0,0,,6,0,0,0,0,57,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0
