,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,757434,2084,1186,13090,1605,158850,7726,8332,1456,1958,100890,17093,800,3144,1384,28376,4146,2255,2905,2686,2344,941,16160,22753,11069,12016,972,4794,325,2039,7667,1507,42622,2689,93584,11848,377,10194,3133,5872,16470,2212,2854,4124,467,5557,57762,458,662,3848,546,24224,17524,478,4379,220,2777
Africa,74775,243,70,1128,85,5491,1353,609,359,743,2019,3215,4,38,111,2437,624,468,469,469,189,394,5066,3849,836,6074,80,799,23,628,542,161,3907,83,6568,1792,177,3096,355,524,2477,3,537,480,176,1470,5880,29,6,320,104,4777,2611,59,374,8,386
Asia,257035,882,680,3062,601,81444,2071,2158,485,336,8982,5684,748,2418,325,10255,1539,656,1050,923,1023,221,5111,5870,6097,3527,501,1726,99,453,2913,499,13995,506,29363,3737,78,3828,1254,1916,6398,61,401,1286,98,1970,18063,134,94,849,156,10021,7180,207,2079,67,955
Europe,82714,209,220,1309,107,11241,1284,1838,146,242,6445,1885,21,212,244,7145,605,461,240,455,187,192,1269,3373,2358,975,80,1220,102,149,766,350,5082,182,11957,1577,66,1714,240,1376,2707,67,273,639,104,655,2894,36,25,407,156,2137,3855,72,757,36,370
North America,261673,586,146,7115,741,53654,2537,1975,371,457,58566,4403,8,210,633,7357,1109,585,974,669,747,98,3299,6411,1452,971,253,797,65,718,3061,303,11576,1832,32957,3325,48,1049,1044,1772,3770,1778,1317,1093,76,1089,27450,183,523,1413,89,4070,3062,83,938,93,772
Northern America,51414,107,62,346,27,1471,247,615,71,126,5555,768,3,96,53,427,139,46,60,85,127,58,694,3165,465,187,33,104,44,26,136,198,5996,45,20548,578,32,363,79,151,2090,1514,894,224,14,148,1078,45,479,141,69,522,617,28,137,21,157
Oceania,3886,4,33,74,4,1569,86,34,,9,100,51,14,148,15,66,10,16,18,16,9,6,37,64,28,25,5,29,11,7,44,11,53,11,149,57,,37,26,104,60,0,4,38,,24,166,23,4,161,4,95,274,8,25,5,11
Latin America,284925,627,121,7152,778,57311,2657,3022,303,509,77020,5433,10,224,635,7980,1212,605,1051,726,785,70,4027,6390,1271,1210,261,906,46,776,3235,282,13076,1854,24956,3963,16,1092,1173,1786,2691,542,749,1413,65,1253,29519,190,54,1955,57,6648,2975,104,1002,83,876
South America,76992,158,37,399,64,5394,389,1717,,170,24740,1850,5,118,55,1088,256,69,151,148,179,30,1371,3182,275,441,51,219,25,84,339,183,8003,75,12577,1354,,439,212,179,1053,300,321,585,,335,3283,52,10,696,37,3113,536,49,200,11,273
Afghanistan,1758,,0,46,0,579,27,14,7,,22,50,0,0,17,25,10,6,4,10,4,,29,15,22,4,0,34,0,13,18,0,51,15,216,8,,14,0,10,25,0,,4,,20,62,0,0,8,,288,61,0,,0,8
